case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id,BA
401961,"Summit Water Nexus Mt. Holly, LLC Solar",NJ,1.0,fixed-tilt,ground,39.9873,-74.8017,60809,PJM
403263,Augusta Solar Farm,NJ,2.9,fixed-tilt,ground,41.1,-74.732,62906,PJM
403262,"Day Four Solar, LLC",NJ,4.5,fixed-tilt,ground,40.0529,-74.556,62905,PJM
402485,"Techren Solar I, LLC",NV,100.0,single-axis,ground,35.8505,-114.9737,61611,NEVP
403075,"Route 14A CDG Solar North and South, LLC",NY,4.0,fixed-tilt,ground,42.8161,-77.0401,62580,NYIS
403364,Hollygrove (CSG),NY,2.0,single-axis,ground,43.259,-76.7244,63051,NYIS
402768,Enfield Community Solar,NY,1.8,fixed-tilt,ground,42.4543,-76.5944,62029,NYIS
402508,Denison Solar Array,OH,1.9,single-axis,ground,40.0786,-82.5136,61637,PJM
403316,Whitetail Solar 1,PA,13.5,single-axis,ground,40.1382,-77.608,62989,PJM
402203,Bandera Electric Coop PV,TX,1.5,single-axis,ground,29.6805,-99.7641,61205,ERCO
401528,"Eastern Shore Solar, LLC",VA,80.0,single-axis,ground,37.9402,-75.5869,60127,PJM
404589,Bluestone Solar,VA,49.9,single-axis,ground,36.809,-78.4881,62950,PJM
402060,VEC Magee Hill Solar,VT,1.3,fixed-tilt,ground,44.3685,-73.061,60954,ISNE
402027,Whistling Winds DPC Solar,WI,1.5,single-axis,ground,43.9722,-90.0711,60895,MISO
402611,Titan Solar,CO,50.0,single-axis,ground,39.6868,-104.0136,61811,PSCO
403321,Bluewater CDEC 1,NM,2.4,single-axis,ground,35.2419,-107.9519,62994,PNM
402445,Eagle Point Solar,OR,9.9,single-axis,ground,42.4008,-122.8303,61560,PACW
402626,Valley Creek Solar,OR,2.2,fixed-tilt,ground,45.0329,-123.0964,61828,PGE
402633,Grand Ronde Solar,OR,2.2,fixed-tilt,ground,45.0528,-123.6095,61835,PGE
402872,"Labish Solar, LLC",OR,2.2,fixed-tilt,ground,44.9851,-122.9399,62171,PGE
406045,"USS Giveback Solar, LLC (CSG)",CO,2.0,single-axis,ground,38.2429,-104.426,65990,PSCO
403638,"IGS CC, LLC",DC,1.5,fixed-tilt,ground,38.937,-76.968,63428,PJM
404106,Lowndes Tycor Farms,GA,2.3,single-axis,ground,30.6904,-83.1658,64279,SOCO
406059,Hobnail Solar,GA,70.0,dual-axis,ground,33.2647,-82.1739,66026,SOCO
403954,Route 76 Boone Solar 1,IL,2.0,single-axis,ground,42.4206,-88.8482,64018,PJM
404120,Lafayette 2-McHenry Franks 2,IL,2.0,single-axis,ground,42.218,-88.4991,64303,PJM
404121,Lafayette 2-Kankakee Yonke,IL,2.0,single-axis,ground,41.0933,-87.8718,64304,PJM
400736,"Hobart Solar, LLC",IN,1.0,fixed-tilt,ground,41.5301,-87.3082,58795,MISO
400737,"Waterloo Solar, LLC",IN,1.0,fixed-tilt,ground,41.4339,-85.0429,58796,MISO
400738,"Valparaiso Solar, LLC",IN,1.0,fixed-tilt,ground,41.503,-87.1613,58797,MISO
406271,DeGraff Butler Electric,KS,1.0,single-axis,ground,37.9859,-96.8608,66609,SWPP
406179,Brimfield,MA,1.9,single-axis,ground,42.1169,-72.2225,66317,ISNE
400321,Perdue Salisbury Photovoltaic,MD,1.0,fixed-tilt,ground,38.3722,-75.5324,57879,PJM
403612,Stearns Solar I,MN,1.0,single-axis,ground,45.649,-94.5595,63400,MISO
403609,Loon Garden,MN,1.0,fixed-tilt,ground,44.0904,-93.5559,63397,MISO
403641,Maston Garden Solar,MN,1.0,fixed-tilt,ground,44.0427,-92.6891,63434,MISO
404320,Swan Garden,MN,1.0,single-axis,ground,45.7219,-95.2651,64697,MISO
406048,"MP CSG 1, LLC",MN,1.0,single-axis,ground,46.6191,-92.3934,66003,MISO
406207,Westside Solar,MN,10.0,single-axis,ground,44.0523,-92.5509,66422,MISO
404649,Sunflower County,MS,100.0,single-axis,ground,33.7555,-90.5279,64081,MISO
401029,Rose Hill,NC,2.0,fixed-tilt,ground,34.8212,-77.9723,59375,CPLE
403599,"ATOOD Solar IV, LLC",NC,5.0,fixed-tilt,ground,34.2768,-78.061,63383,CPLE
401004,North Run,NJ,5.2,fixed-tilt,ground,40.0695,-74.5849,59318,PJM
404003,GE 19th Hole,NY,7.7,single-axis,ground,42.9898,-74.3103,64102,NYIS
406004,Day Hollow Road Community Solar,NY,5.0,fixed-tilt,ground,42.1137,-76.1778,65826,NYIS
404952,ER Bison Solar CSG,PA,1.4,fixed-tilt,ground,40.9502,-76.892,66097,PJM
404038,Mechanicsville Solar,VA,25.0,single-axis,ground,37.667,-77.1998,64158,PJM
404188,Point Beach Solar,WI,100.0,single-axis,ground,44.2743,-87.5554,64431,MISO
404924,Hodag Solar,WI,7.5,single-axis,ground,45.6084,-89.4423,65968,MISO
401130,Five Points Solar Park,CA,60.0,single-axis,ground,36.3935,-120.24,59523,CISO
405143,Actus Lend Lease DMAFB,AZ,3.0,single-axis,ground,32.193,-110.8838,58632,TEPC
403826,Bighorn Solar 1,CO,240.0,single-axis,ground,38.2009,-104.5982,63770,PSCO
404663,Apex Solar,MT,80.0,single-axis,ground,45.2325,-112.7465,64189,NWMT
405562,"Rocket Solar, LLC",UT,80.0,single-axis,ground,41.64,-112.4567,63983,PACE
406801,"True North Solar, LLC",TX,238.8,single-axis,ground,31.4808,-96.8316,65998,ERCO
403294,Novel Brooten Solar (CSG),MN,1.0,fixed-tilt,ground,45.5125,-95.1143,62961,MISO
