case_id,p_name,p_state,p_cap_ac,p_axis,p_sys_type,ylat,xlong,eia_id
EIA_59786,Fiddler's Canyon #2,UT,3.0,single-axis,ground-mounted,37.794678,-113.2837,59786
EIA_59988,Decatur Co. Solar RES (IN),IN,1.1,single-axis,ground-mounted,39.337893,-85.5064,59988
EIA_60452,Calverton,NY,3.0,single-axis,ground-mounted,40.921086,-72.7437,60452
EIA_61703,Sikorsky Aircraft CHP,CT,0.1,single-axis,ground-mounted,41.250009,-73.09865,61703
EIA_61796,LeGore Bridge Solar Center,MD,20.0,single-axis,ground-mounted,39.572402,-77.30787,61796
EIA_61820,IKEA New Haven Rooftop PV & Fuel Cell,CT,0.8,single-axis,ground-mounted,41.295715,-72.91995,61820
EIA_61822,"Princeton Energy Center, LLC",NJ,0.2,single-axis,ground-mounted,40.339838,-74.62393,61822
EIA_61852,Eagle Shadow Mountain Solar Farm,NV,300.0,single-axis,ground-mounted,36.629761,-114.684,61852
EIA_61910,Yeoman Creek,IL,7.0,single-axis,ground-mounted,42.391136,-87.84941,61910
EIA_61967,Norton Solar Farm,TX,125.0,single-axis,ground-mounted,31.534768,-100.1138,61967
EIA_61990,TAC-Distributed Energy Resource Hybrid,IL,0.1,single-axis,ground-mounted,40.089797,-88.24357,61990
EIA_62027,Caldwell Wastewater Treatment Plant Hybr,NJ,0.7,single-axis,ground-mounted,40.838568,-74.31248,62027
EIA_62186,Chapman Solar,SC,2.0,single-axis,ground-mounted,34.369819,-80.02481,62186
EIA_62344,Washington Solar II (SC),SC,2.0,single-axis,ground-mounted,34.238081,-79.25195,62344
EIA_62397,Runway Solar Farm,SC,2.0,single-axis,ground-mounted,33.667675,-78.91799,62397
EIA_62442,"Lake Region Community Hybrid, LLC",MN,0.5,single-axis,ground-mounted,46.505052,-96.15728,62442
EIA_62494,Skeleton Creek Energy Center Hybrid,OK,250.0,single-axis,ground-mounted,36.521428,-98.03436,62494
EIA_62545,Renew Solar ABC Sacramento LLC,CA,1.7,single-axis,ground-mounted,38.39945,-121.2932,62545
EIA_62737,West Valley West,NY,5.0,single-axis,ground-mounted,42.442927,-78.63214,62737
EIA_62797,Bluebird Solar LLC,KY,100.0,single-axis,ground-mounted,38.299894,-84.38349,62797
EIA_63122,Sherburne Community Solar One LLC CSG,MN,1.0,single-axis,ground-mounted,45.53199,-94.13578,63122
EIA_63194,Delilah Solar Energy LLC,TX,300.0,single-axis,ground-mounted,33.284418,-95.16356,63194
EIA_63211,Samson Solar Energy,TX,250.0,single-axis,ground-mounted,33.25102,-95.19343,63211
EIA_63221,USS Steamboat Solar LLC CSG,MN,1.0,single-axis,ground-mounted,44.41301,-94.9858,63221
EIA_63507,Bakeoven Solar,OR,60.0,single-axis,ground-mounted,45.131793,-120.8807,63507
EIA_63518,Twin Rivers Solar Power Plant,FL,74.9,single-axis,ground-mounted,30.466428,-82.96872,63518
EIA_63542,Enter Solar,MN,1.0,single-axis,ground-mounted,44.141576,-93.7077,63542
EIA_63882,Samson Solar Energy II LLC,TX,200.0,single-axis,ground-mounted,33.458,-95.349,63882
EIA_63884,Delilah Solar Energy II LLC,TX,310.0,single-axis,ground-mounted,33.481551,-95.26925,63884
EIA_63946,"Vermilion Solar 1, LLC CSG",IL,2.0,single-axis,ground-mounted,40.12437,-87.6292,63946
