date,padd1a,padd1b
2008-05-15,1975.8809523809523,2252.445238095238
2008-06-15,,2006.5714285714287
2008-07-15,1056.509523809524,1894.7642857142855
2008-08-15,1195.345238095238,2469.592857142857
2008-09-15,2006.642857142857,2737.8571428571427
2008-10-15,3182.2976190476193,4454.847619047619
2008-11-15,3934.214285714286,5674.857142857143
2008-12-15,7013.011904761905,8801.121428571429
2009-01-15,8779.790476190476,11257.133333333335
2009-02-15,6494.800000000001,8603.333333333334
2009-03-15,5588.045238095238,7200.045238095237
2009-04-15,3053.4999999999995,4304.142857142857
2009-05-15,,2499.190476190476
2009-06-15,,2007.142857142857
2009-07-15,,1671.1214285714284
2009-08-15,,1671.5642857142857
2009-09-15,,2376.6428571428573
2009-10-15,2630.27619047619,4157.838095238095
2009-11-15,2947.3571428571427,4258.214285714285
2009-12-15,6292.85238095238,7691.026190476191
2010-01-15,6801.104761904761,10053.890476190476
2010-02-15,5905.666666666667,8872.4
2010-03-15,4008.890476190476,5684.809523809524
2010-04-15,2233.214285714286,2497.5714285714284
2010-05-15,1467.702380952381,2164.907142857143
2010-06-15,985.9285714285714,1987.7857142857142
2010-07-15,772.8595238095238,
2010-08-15,984.1023809523808,
2010-09-15,,2239.785714285714
2010-11-15,3349.8571428571427,4651.071428571428
2010-12-15,6384.819047619047,8776.32142857143
2011-01-15,6969.833333333333,10269.414285714285
2011-02-15,5924.0,7886.199999999999
2011-03-15,4800.42380952381,5955.247619047619
2011-04-15,2713.4285714285716,3475.1428571428573
2011-05-15,1449.6190476190477,1583.804761904762
2011-06-15,915.1428571428571,1304.7857142857142
2011-07-15,715.952380952381,1312.111904761905
2011-08-15,1089.797619047619,1492.6499999999999
2011-09-15,1657.4285714285713,2289.3571428571427
2011-10-15,2100.7666666666664,3735.1309523809523
2011-11-15,3188.1428571428573,5094.857142857143
2011-12-15,4644.390476190476,6426.890476190475
2012-01-15,5836.488095238095,6939.202380952381
2012-02-15,4741.430952380952,5398.833333333333
2012-03-15,3272.9357142857148,3635.8571428571427
2012-04-15,1962.857142857143,2170.214285714286
2012-05-15,1543.5047619047618,1609.4166666666667
2012-06-15,988.7857142857143,1200.7142857142858
2012-07-15,828.1428571428571,1121.5357142857142
2012-08-15,968.6761904761905,1324.2166666666667
2012-09-15,1224.7857142857142,1298.857142857143
2012-10-15,2111.02619047619,2391.7976190476193
2012-11-15,3350.0,4478.571428571428
2012-12-15,4671.847619047619,5483.604761904762
2013-01-15,6403.197619047619,7317.8452380952385
2013-02-15,5350.2,6252.666666666667
2013-03-15,4259.769047619048,5221.064285714286
2013-04-15,2679.0,2971.785714285714
2013-05-15,1448.9547619047619,1429.3214285714287
2013-06-15,899.7857142857143,1089.0714285714287
2013-07-15,876.1190476190476,1315.7285714285713
2013-08-15,968.1595238095239,1293.8809523809523
2013-09-15,1433.7142857142858,1700.142857142857
2013-10-15,2252.002380952381,2713.0904761904762
2013-11-15,3591.6428571428573,3849.9285714285716
2013-12-15,5924.099999999999,5329.490476190476
2014-01-15,7052.795238095237,7592.638095238095
2014-02-15,5805.466666666667,6090.666666666667
2014-03-15,5333.402380952381,5349.271428571428
2014-04-15,2648.6428571428573,2453.8571428571427
2014-05-15,1353.2238095238095,1376.104761904762
2014-06-15,974.0714285714286,1005.3571428571429
2014-07-15,862.2428571428572,1147.1476190476192
2014-08-15,954.7261904761905,1218.5214285714287
2014-09-15,1674.857142857143,1674.2142857142858
2014-10-15,2003.7809523809524,2635.442857142857
2014-11-15,3132.285714285714,3769.785714285714
2014-12-15,4837.55,5349.935714285714
2015-01-15,6586.245238095238,6504.833333333333
2015-02-15,7132.6,6857.133333333334
2015-03-15,5127.252380952381,4320.366666666667
2015-04-15,2808.4285714285716,2179.0714285714284
2015-05-15,1127.6619047619047,1233.947619047619
2015-06-15,893.5714285714286,881.8571428571429
2015-07-15,761.3452380952381,931.1071428571429
2015-08-15,955.1690476190475,1345.547619047619
2015-09-15,1348.642857142857,1810.5
2015-10-15,2299.8309523809526,3001.980952380952
2015-11-15,2630.5,3035.8571428571427
2015-12-15,3957.0761904761903,4001.7309523809517
2016-01-15,5654.842857142857,5994.809523809524
2016-02-15,5210.1261904761905,5811.738095238095
2016-03-15,3864.9619047619044,3833.8880952380955
2016-04-15,2603.714285714286,2691.8571428571427
2016-05-15,1560.0380952380951,1799.5499999999997
2016-06-15,806.0714285714286,1099.357142857143
2016-07-15,588.1142857142856,846.7428571428572
2016-08-15,769.6119047619047,1123.6023809523808
2016-09-15,1163.7857142857142,1600.5714285714287
2016-10-15,1949.4571428571428,2459.554761904762
2016-11-15,3047.0,2983.6428571428573
2016-12-15,5419.3166666666675,5165.854761904762
2017-01-15,5169.692857142857,5561.842857142857
2017-02-15,4596.666666666667,4312.866666666667
2017-03-15,4931.361904761904,4658.783333333333
2017-04-15,2247.0,2308.1428571428573
2017-05-15,1523.4285714285713,1783.3857142857141
2017-06-15,1043.857142857143,1295.5
2017-07-15,715.2142857142857,1216.5285714285715
2017-08-15,952.7333333333332,1518.6309523809523
2017-09-15,1145.7142857142858,1492.0714285714287
2017-10-15,1512.5047619047618,1951.154761904762
2017-11-15,3355.3571428571427,3772.5714285714284
2017-12-15,5776.038095238096,5706.0666666666675
2018-01-15,7468.1214285714295,8561.314285714287
2018-02-15,4761.666666666667,5120.133333333333
2018-03-15,4372.6238095238095,4114.142857142857
2018-04-15,2968.785714285714,3446.5714285714284
2018-05-15,1260.814285714286,1497.004761904762
2018-06-15,839.9285714285714,999.8571428571429
2018-07-15,603.6142857142856,1010.6738095238094
2018-08-15,761.9357142857143,1112.752380952381
2018-09-15,1214.357142857143,1401.4285714285713
2018-10-15,2306.695238095238,2695.4500000000003
2018-11-15,3662.0,4214.357142857143
2018-12-15,4913.130952380952,5111.678571428572
2019-01-15,5864.6833333333325,6852.919047619049
2019-02-15,4880.0666666666675,5496.0666666666675
2019-03-15,4225.004761904762,4590.583333333333
2019-04-15,2226.1428571428573,1955.0
2019-05-15,1453.3833333333332,1306.502380952381
2019-06-15,802.0714285714286,959.9285714285714
2019-07-15,644.7261904761905,897.8190476190476
2019-08-15,767.3238095238095,964.9857142857143
2019-09-15,1317.357142857143,1574.5714285714287
2019-10-15,1920.4500000000003,2244.990476190476
2019-11-15,3306.214285714286,4113.285714285715
2019-12-15,4883.902380952381,5434.890476190476
2020-01-15,4932.7642857142855,5754.190476190476
2020-02-15,4267.142857142857,4806.47380952381
2020-03-15,3694.830952380952,4046.6071428571427
2020-04-15,2966.7142857142853,3154.4285714285716
2020-05-15,1794.3095238095239,2078.402380952381
2020-06-15,807.2857142857143,981.0714285714286
