T	BoM MJO RMM phase
julian_day	unitless
    2442688.    	    5.000000    
    2442689.    	    5.000000    
    2442690.    	    5.000000    
    2442691.    	    5.000000    
    2442692.    	    5.000000    
    2442693.    	    6.000000    
    2442694.    	    6.000000    
    2442695.    	    6.000000    
    2442696.    	    6.000000    
    2442697.    	    6.000000    
    2442698.    	    6.000000    
    2442699.    	    6.000000    
    2442700.    	    7.000000    
    2442701.    	    8.000000    
    2442702.    	    8.000000    
    2442703.    	    8.000000    
    2442704.    	    5.000000    
    2442705.    	    4.000000    
    2442706.    	    4.000000    
    2442707.    	    4.000000    
    2442708.    	    5.000000    
    2442709.    	    5.000000    
    2442710.    	    6.000000    
    2442711.    	    8.000000    
    2442712.    	    8.000000    
    2442713.    	    8.000000    
    2442714.    	    8.000000    
    2442715.    	    7.000000    
    2442716.    	    2.000000    
    2442717.    	    3.000000    
    2442718.    	    8.000000    
    2442719.    	    7.000000    
    2442720.    	    7.000000    
    2442721.    	    7.000000    
    2442722.    	    8.000000    
    2442723.    	    8.000000    
    2442724.    	    8.000000    
    2442725.    	    8.000000    
    2442726.    	    8.000000    
    2442727.    	    8.000000    
    2442728.    	    8.000000    
    2442729.    	    8.000000    
    2442730.    	    8.000000    
    2442731.    	    7.000000    
    2442732.    	    8.000000    
    2442733.    	    8.000000    
    2442734.    	    8.000000    
    2442735.    	    7.000000    
    2442736.    	    7.000000    
    2442737.    	    7.000000    
    2442738.    	    7.000000    
    2442739.    	    8.000000    
    2442740.    	    8.000000    
    2442741.    	    8.000000    
    2442742.    	    8.000000    
    2442743.    	   1.0000000    
    2442744.    	   1.0000000    
    2442745.    	    2.000000    
    2442746.    	    2.000000    
    2442747.    	    2.000000    
    2442748.    	    2.000000    
    2442749.    	    3.000000    
    2442750.    	    3.000000    
    2442751.    	    3.000000    
    2442752.    	    3.000000    
    2442753.    	    3.000000    
    2442754.    	    3.000000    
    2442755.    	    4.000000    
    2442756.    	    4.000000    
    2442757.    	    4.000000    
    2442758.    	    5.000000    
    2442759.    	    5.000000    
    2442760.    	    6.000000    
    2442761.    	    6.000000    
    2442762.    	    6.000000    
    2442763.    	    6.000000    
    2442764.    	    7.000000    
    2442765.    	    7.000000    
    2442766.    	    8.000000    
    2442767.    	    8.000000    
    2442768.    	    8.000000    
    2442769.    	    8.000000    
    2442770.    	    8.000000    
    2442771.    	    8.000000    
    2442772.    	    8.000000    
    2442773.    	    8.000000    
    2442774.    	    8.000000    
    2442775.    	    8.000000    
    2442776.    	    8.000000    
    2442777.    	    8.000000    
    2442778.    	    8.000000    
    2442779.    	    8.000000    
    2442780.    	    8.000000    
    2442781.    	    8.000000    
    2442782.    	    8.000000    
    2442783.    	    8.000000    
    2442784.    	   1.0000000    
    2442785.    	    2.000000    
    2442786.    	   1.0000000    
    2442787.    	    6.000000    
    2442788.    	    6.000000    
    2442789.    	    6.000000    
    2442790.    	    5.000000    
    2442791.    	    6.000000    
    2442792.    	    6.000000    
    2442793.    	    6.000000    
    2442794.    	    6.000000    
    2442795.    	    6.000000    
    2442796.    	    6.000000    
    2442797.    	    6.000000    
    2442798.    	    6.000000    
    2442799.    	    6.000000    
    2442800.    	    6.000000    
    2442801.    	    7.000000    
    2442802.    	    7.000000    
    2442803.    	    7.000000    
    2442804.    	    7.000000    
    2442805.    	    8.000000    
    2442806.    	    8.000000    
    2442807.    	    8.000000    
    2442808.    	    8.000000    
    2442809.    	    8.000000    
    2442810.    	    8.000000    
    2442811.    	    8.000000    
    2442812.    	    8.000000    
    2442813.    	    7.000000    
    2442814.    	    7.000000    
    2442815.    	    7.000000    
    2442816.    	    7.000000    
    2442817.    	    8.000000    
    2442818.    	    8.000000    
    2442819.    	    8.000000    
    2442820.    	    8.000000    
    2442821.    	    8.000000    
    2442822.    	    8.000000    
    2442823.    	    8.000000    
    2442824.    	    8.000000    
    2442825.    	   1.0000000    
    2442826.    	    2.000000    
    2442827.    	    2.000000    
    2442828.    	   1.0000000    
    2442829.    	   1.0000000    
    2442830.    	    4.000000    
    2442831.    	    4.000000    
    2442832.    	    5.000000    
    2442833.    	    5.000000    
    2442834.    	    5.000000    
    2442835.    	    5.000000    
    2442836.    	    5.000000    
    2442837.    	    6.000000    
    2442838.    	    6.000000    
    2442839.    	    6.000000    
    2442840.    	    7.000000    
    2442841.    	    5.000000    
    2442842.    	    3.000000    
    2442843.    	    3.000000    
    2442844.    	    4.000000    
    2442845.    	    4.000000    
    2442846.    	    5.000000    
    2442847.    	    5.000000    
    2442848.    	    6.000000    
    2442849.    	    5.000000    
    2442850.    	    5.000000    
    2442851.    	    6.000000    
    2442852.    	    6.000000    
    2442853.    	    6.000000    
    2442854.    	    6.000000    
    2442855.    	    6.000000    
    2442856.    	    6.000000    
    2442857.    	    6.000000    
    2442858.    	    5.000000    
    2442859.    	    5.000000    
    2442860.    	    5.000000    
    2442861.    	    5.000000    
    2442862.    	    5.000000    
    2442863.    	    5.000000    
    2442864.    	    6.000000    
    2442865.    	    6.000000    
    2442866.    	    5.000000    
    2442867.    	    5.000000    
    2442868.    	    4.000000    
    2442869.    	    4.000000    
    2442870.    	    4.000000    
    2442871.    	    4.000000    
    2442872.    	    4.000000    
    2442873.    	    4.000000    
    2442874.    	    4.000000    
    2442875.    	    5.000000    
    2442876.    	    5.000000    
    2442877.    	    5.000000    
    2442878.    	    6.000000    
    2442879.    	    6.000000    
    2442880.    	    5.000000    
    2442881.    	    5.000000    
    2442882.    	    5.000000    
    2442883.    	    5.000000    
    2442884.    	    6.000000    
    2442885.    	    6.000000    
    2442886.    	    6.000000    
    2442887.    	    7.000000    
    2442888.    	    7.000000    
    2442889.    	    8.000000    
    2442890.    	    8.000000    
    2442891.    	   1.0000000    
    2442892.    	    2.000000    
    2442893.    	    2.000000    
    2442894.    	    2.000000    
    2442895.    	    2.000000    
    2442896.    	    2.000000    
    2442897.    	    3.000000    
    2442898.    	    2.000000    
    2442899.    	    2.000000    
    2442900.    	    2.000000    
    2442901.    	    3.000000    
    2442902.    	    3.000000    
    2442903.    	    4.000000    
    2442904.    	    4.000000    
    2442905.    	    4.000000    
    2442906.    	    5.000000    
    2442907.    	    5.000000    
    2442908.    	    5.000000    
    2442909.    	    6.000000    
    2442910.    	    6.000000    
    2442911.    	    7.000000    
    2442912.    	    7.000000    
    2442913.    	    7.000000    
    2442914.    	    7.000000    
    2442915.    	    7.000000    
    2442916.    	    7.000000    
    2442917.    	    7.000000    
    2442918.    	    7.000000    
    2442919.    	    6.000000    
    2442920.    	    6.000000    
    2442921.    	    5.000000    
    2442922.    	    5.000000    
    2442923.    	    5.000000    
    2442924.    	    4.000000    
    2442925.    	    3.000000    
    2442926.    	    2.000000    
    2442927.    	    2.000000    
    2442928.    	    2.000000    
    2442929.    	    2.000000    
    2442930.    	   1.0000000    
    2442931.    	   1.0000000    
    2442932.    	   1.0000000    
    2442933.    	   1.0000000    
