utc,tmpf,dwpf,cloud,load,ens_p10,ens_p50,ens_p90
2026-07-04 11:00:00+00:00,78.89170002361922,70.58390397013949,39.64558822790663,98701.3088724628,89701.7562365572,96041.84093404599,103779.50322946635
2026-07-04 12:00:00+00:00,80.31628027150073,70.63951412285674,39.972700604547846,100244.91700048922,93209.42899448345,99362.24896543795,104645.22536413267
2026-07-04 13:00:00+00:00,82.3053129101894,70.43980933954693,41.38955551674985,106067.28692478119,98896.08817245242,104543.25442882445,110809.4754572599
2026-07-04 14:00:00+00:00,84.50124689070192,70.23179866124546,42.81177862195645,112433.61047554784,105046.64501354043,110508.16714342801,118248.03753747536
2026-07-04 15:00:00+00:00,86.7000927874419,70.02352196106662,44.24253113563239,119238.44656476307,112047.3179241371,116885.53859975965,124428.1573557278
2026-07-04 16:00:00+00:00,88.8132273904615,69.80394272196152,45.67467035787748,125927.29542697564,117034.96658891955,123896.87927036732,129211.96524489093
2026-07-04 17:00:00+00:00,90.56510894325075,69.59612241651124,47.098359954545494,134723.55362953854,124167.30949766049,132213.6557033991,138443.1470422344
2026-07-04 18:00:00+00:00,91.63270574447257,69.38629435141226,48.516005171599964,139978.52121465377,129417.52951952019,139481.65583933593,140415.0109758311
2026-07-04 19:00:00+00:00,91.89233242469373,69.55251181449329,50.599599341779644,141409.06980058874,132444.2489651834,140929.6079912254,142095.51435589555
2026-07-04 20:00:00+00:00,91.40535391000522,69.70781559953657,52.67557231525091,141796.60422112985,132013.4543616702,141436.7438410221,142891.9944342336
2026-07-04 21:00:00+00:00,90.14200227649535,69.8789207040452,54.75505761979422,143101.20476240583,131967.29528599355,141583.49627089567,143833.0365715349
2026-07-04 22:00:00+00:00,88.3891787427238,70.0422509776031,56.825836053540414,140936.0794907674,131490.1626619463,137573.58033942548,145428.5228974328
2026-07-04 23:00:00+00:00,86.4750097714942,70.20559196554753,58.91185510209554,136817.99746111606,129987.22282517841,134690.24185633962,143360.40492321493
2026-07-05 00:00:00+00:00,84.61597491685517,70.37412135192399,60.98278849171134,131839.82811868298,125187.24526207981,129857.54673197067,136720.8924355304
2026-07-05 01:00:00+00:00,82.72549896646991,70.21119522410446,60.869060212393016,125248.32142421354,121100.2816421748,124235.50229576757,132353.56804040202
2026-07-05 02:00:00+00:00,80.86851318340109,70.04785501467086,60.75188099257709,122512.02819148189,116320.25550653093,120608.0516934287,125794.55083111276
2026-07-05 03:00:00+00:00,79.16237643913489,69.88974122116626,60.647083197477514,113206.85979460992,109602.23504581647,112761.74211216043,118494.63140179498
2026-07-05 04:00:00+00:00,77.73608974465698,69.72312941408724,60.51741211750495,106581.60584601555,103691.84962420395,106428.77005442946,112142.56363799209
2026-07-05 05:00:00+00:00,76.77580612931202,69.5661075576067,60.41143270606492,102583.29032237602,93533.04437694239,99981.68427199281,107206.11104946453
2026-07-05 06:00:00+00:00,76.21207607511182,69.40125452348315,60.29414731026227,96648.73113724565,87994.72286139996,94461.95530322353,102920.30424133324
2026-07-05 07:00:00+00:00,75.86405413124169,69.37432601741828,60.292818928853826,94088.02018503769,84796.91585549989,91628.0604822454,99282.03005057597
2026-07-05 08:00:00+00:00,75.57189159636772,69.3570598509641,60.30354442425957,92206.46018234715,82327.15342947743,89791.84957185299,97371.58175757689
2026-07-05 09:00:00+00:00,75.23900337132878,69.31941905853374,60.317723662538825,90608.210066697,81028.22881047476,88649.62509296848,96565.1744980142
2026-07-05 10:00:00+00:00,75.039681670788,69.2803808779966,60.326334957983704,90441.53719212316,80501.7972051508,88476.21215496097,96251.65764895699
2026-07-05 11:00:00+00:00,75.53470331115288,69.26015887498771,60.329377703040166,90111.1927557086,81271.4998949923,88778.01678878654,96715.4021746773
2026-07-05 12:00:00+00:00,76.78623478130821,69.27422607543573,60.331139812940165,94513.55888465788,85743.32843758973,91625.2413319652,100984.81392605879
2026-07-05 13:00:00+00:00,78.53252557883617,69.27274775573876,59.85836950866158,99609.3147880766,90347.7877970663,95858.64624133323,105419.8622057806
2026-07-05 14:00:00+00:00,80.49354955620632,69.26587567513786,59.37119693722276,103981.5993024971,95147.01851406874,101974.29485086795,110731.57774403802
2026-07-05 15:00:00+00:00,82.4822890570829,69.26892848560266,58.88281193843169,107908.96054975383,101615.69031967464,105664.74759992854,115154.77915780178
2026-07-05 16:00:00+00:00,84.41777812191228,69.25283737206419,58.40052139840846,114887.04270130394,106926.34797863034,113090.85632231268,120700.46971452872
2026-07-05 17:00:00+00:00,86.01565100507192,69.24514443466425,57.911118070001216,121424.25201814286,114323.25248179813,118823.4364470852,127968.14305194345
2026-07-05 18:00:00+00:00,87.0143902484613,69.24698875964529,57.424194744320886,126529.19683576708,119728.96420634839,123702.53826636806,133649.92966488766
2026-07-05 19:00:00+00:00,87.308277694139,69.34516819370947,58.05006770874196,130671.31173795766,123917.35206044496,128199.52556764834,139187.7597219557
2026-07-05 20:00:00+00:00,86.95997337747279,69.4430080813367,58.681687015299765,132630.94896752824,125185.69275718844,129413.50479206526,140056.33152177007
