ba_code,valid_time,MW
BPAT,2026-05-20 15:00:00,184.6636458527399
BPAT,2026-05-20 16:00:00,90.62469560133235
BPAT,2026-05-20 17:00:00,49.984465050260816
BPAT,2026-05-20 18:00:00,56.55923627216957
CISO,2026-05-18 18:00:00,5997.989174902997
CISO,2026-05-18 19:00:00,5278.160052949976
CISO,2026-05-18 20:00:00,4870.473118231003
CISO,2026-05-18 21:00:00,4437.372871082673
CISO,2026-05-18 22:00:00,4149.977309163703
CISO,2026-05-18 23:00:00,4000.7157642251686
CISO,2026-05-19 00:00:00,3812.8912149154708
CISO,2026-05-19 01:00:00,3735.3733263884346
CISO,2026-05-19 02:00:00,3711.8637580930454
CISO,2026-05-19 03:00:00,4134.676785823975
CISO,2026-05-19 04:00:00,4999.831190546092
CISO,2026-05-19 05:00:00,4849.86329618978
CISO,2026-05-19 06:00:00,4065.9578508262393
CISO,2026-05-19 07:00:00,2611.1614720688212
CISO,2026-05-19 08:00:00,2192.5307190971957
CISO,2026-05-19 09:00:00,2420.091386395148
CISO,2026-05-19 10:00:00,2277.731592749202
CISO,2026-05-19 11:00:00,2400.2335745384394
CISO,2026-05-19 12:00:00,3897.1915600335456
CISO,2026-05-19 13:00:00,4991.788932401995
CISO,2026-05-19 14:00:00,4697.955710640879
CISO,2026-05-19 15:00:00,4274.244749221557
CISO,2026-05-19 16:00:00,3571.085393797709
CISO,2026-05-19 17:00:00,3004.1762697086547
CISO,2026-05-19 18:00:00,2067.782263539813
CISO,2026-05-19 19:00:00,1154.0170597973975
CISO,2026-05-19 20:00:00,1446.7381917189143
CISO,2026-05-19 21:00:00,2420.8699810487788
CISO,2026-05-19 22:00:00,2785.3197962453546
CISO,2026-05-19 23:00:00,2753.4059553777465
CISO,2026-05-20 00:00:00,2801.5839384267188
CISO,2026-05-20 01:00:00,2857.282323465306
CISO,2026-05-20 02:00:00,3062.2569235381775
CISO,2026-05-20 03:00:00,3614.5763380101175
CISO,2026-05-20 04:00:00,4369.652606909937
CISO,2026-05-20 05:00:00,3876.6197247189125
CISO,2026-05-20 06:00:00,3723.9442691159315
CISO,2026-05-20 07:00:00,4717.701181048768
CISO,2026-05-20 08:00:00,4873.036354453396
CISO,2026-05-20 09:00:00,4892.404897527287
CISO,2026-05-20 10:00:00,4517.804796399631
CISO,2026-05-20 11:00:00,4557.263335521409
CISO,2026-05-20 12:00:00,4636.348739071252
CISO,2026-05-20 13:00:00,4306.615903601379
CISO,2026-05-20 14:00:00,3759.5621716188284
CISO,2026-05-20 15:00:00,2941.5204872586996
CISO,2026-05-20 16:00:00,2591.746415702019
CISO,2026-05-20 17:00:00,2428.7779540269057
CISO,2026-05-20 18:00:00,2541.6731391855565
EPE,2026-05-18 18:00:00,42.335649542941745
EPE,2026-05-18 19:00:00,42.335698458544265
EPE,2026-05-18 20:00:00,42.336
EPE,2026-05-18 21:00:00,42.336
EPE,2026-05-18 22:00:00,42.336
EPE,2026-05-18 23:00:00,42.336
EPE,2026-05-19 00:00:00,42.336
EPE,2026-05-19 01:00:00,42.336
EPE,2026-05-19 02:00:00,42.182409524945015
EPE,2026-05-19 03:00:00,40.41698033728602
