region,valid_time,forecast_MW,cycle,lead_hours,actual_MW,curtailment_MW,forecast_minus_curtail_MW,error_after_curtail_MW,error_MW
CAISO,2026-06-29 15:00:00,3476.2433352706907,2026-06-29 00:00:00,15.0,2638.333333333333,0.0,3476.2433352706907,837.9100019373577,837.9100019373577
CAISO,2026-06-29 16:00:00,3271.2838126390016,2026-06-29 00:00:00,16.0,2587.833333333333,0.0,3271.2838126390016,683.4504793056685,683.4504793056685
CAISO,2026-06-29 17:00:00,3146.071147337823,2026-06-29 00:00:00,17.0,2510.454545454545,0.0,3146.071147337823,635.6166018832778,635.6166018832778
CAISO,2026-06-29 18:00:00,2924.9491893133268,2026-06-29 06:00:00,12.0,2571.4166666666665,0.0,2924.9491893133268,353.53252264666025,353.53252264666025
CAISO,2026-06-29 19:00:00,2995.099055280351,2026-06-29 06:00:00,13.0,2467.333333333333,0.0,2995.099055280351,527.7657219470179,527.7657219470179
CAISO,2026-06-29 20:00:00,3392.836469289242,2026-06-29 06:00:00,14.0,2578.9166666666665,0.0,3392.836469289242,813.9198026225754,813.9198026225754
CAISO,2026-06-29 21:00:00,3930.311440638374,2026-06-29 06:00:00,15.0,2768.833333333333,0.0,3930.311440638374,1161.4781073050408,1161.4781073050408
CAISO,2026-06-29 22:00:00,4796.548310709872,2026-06-29 06:00:00,16.0,2929.5,0.0,4796.548310709872,1867.0483107098717,1867.0483107098717
CAISO,2026-06-29 23:00:00,4552.230557339333,2026-06-29 06:00:00,17.0,3400.083333333333,0.0,4552.230557339333,1152.1472240060002,1152.1472240060002
CAISO,2026-06-30 00:00:00,5361.298866168845,2026-06-29 12:00:00,12.0,3860.4166666666665,0.0,5361.298866168845,1500.8821995021785,1500.8821995021785
CAISO,2026-06-30 01:00:00,5347.892971690993,2026-06-29 12:00:00,13.0,4354.583333333333,0.0,5347.892971690993,993.3096383576603,993.3096383576603
CAISO,2026-06-30 02:00:00,5332.833051934481,2026-06-29 12:00:00,14.0,4478.583333333333,0.0,5332.833051934481,854.2497186011478,854.2497186011478
CAISO,2026-06-30 03:00:00,5920.481439888692,2026-06-29 12:00:00,15.0,5497.083333333333,0.0,5920.481439888692,423.39810655535894,423.39810655535894
CAISO,2026-06-30 04:00:00,6662.503867803101,2026-06-29 12:00:00,16.0,5471.416666666667,0.0,6662.503867803101,1191.0872011364336,1191.0872011364336
CAISO,2026-06-30 05:00:00,6614.719472082672,2026-06-29 12:00:00,17.0,5436.666666666667,0.0,6614.719472082672,1178.052805416005,1178.052805416005
CAISO,2026-06-30 06:00:00,6425.999619344439,2026-06-29 18:00:00,12.0,5807.583333333333,0.0,6425.999619344439,618.4162860111064,618.4162860111064
CAISO,2026-06-30 07:00:00,6218.340045670508,2026-06-29 18:00:00,13.0,5863.333333333333,0.0,6218.340045670508,355.0067123371746,355.0067123371746
CAISO,2026-06-30 08:00:00,6285.98841941684,2026-06-29 18:00:00,14.0,6040.3,0.0,6285.98841941684,245.68841941683968,245.68841941683968
CAISO,2026-06-30 09:00:00,6632.053087203725,2026-06-29 18:00:00,15.0,6112.083333333333,0.0,6632.053087203725,519.9697538703922,519.9697538703922
CAISO,2026-06-30 10:00:00,6593.821746983098,2026-06-29 18:00:00,16.0,5879.25,0.0,6593.821746983098,714.5717469830979,714.5717469830979
CAISO,2026-06-30 11:00:00,6572.810182020799,2026-06-29 18:00:00,17.0,5932.666666666667,0.0,6572.810182020799,640.1435153541324,640.1435153541324
CAISO,2026-06-30 12:00:00,6451.581779295284,2026-06-30 00:00:00,12.0,5931.333333333333,0.0,6451.581779295284,520.2484459619509,520.2484459619509
CAISO,2026-06-30 13:00:00,5709.472193911177,2026-06-30 00:00:00,13.0,5815.083333333333,0.0,5709.472193911177,-105.61113942215616,-105.61113942215616
CAISO,2026-06-30 14:00:00,4757.039405151983,2026-06-30 00:00:00,14.0,5513.181818181818,0.0,4757.039405151983,-756.1424130298346,-756.1424130298346
CAISO,2026-06-30 15:00:00,4536.572745645572,2026-06-30 00:00:00,15.0,5016.083333333333,0.0,4536.572745645572,-479.5105876877615,-479.5105876877615
CAISO,2026-06-30 16:00:00,4416.235463826837,2026-06-30 00:00:00,16.0,4707.083333333333,0.0,4416.235463826837,-290.84786950649595,-290.84786950649595
CAISO,2026-06-30 17:00:00,4379.3913113167055,2026-06-30 00:00:00,17.0,4631.083333333333,0.0,4379.3913113167055,-251.69202201662756,-251.69202201662756
CAISO,2026-06-30 18:00:00,5218.897853851335,2026-06-30 06:00:00,12.0,4404.5,0.0,5218.897853851335,814.3978538513347,814.3978538513347
CAISO,2026-06-30 19:00:00,5190.837934708544,2026-06-30 06:00:00,13.0,4162.5,0.0,5190.837934708544,1028.3379347085438,1028.3379347085438
CAISO,2026-06-30 20:00:00,5237.225258008723,2026-06-30 06:00:00,14.0,4257.5,0.0,5237.225258008723,979.7252580087234,979.7252580087234
CAISO,2026-06-30 21:00:00,5637.3569340029135,2026-06-30 06:00:00,15.0,4895.75,0.0,5637.3569340029135,741.6069340029135,741.6069340029135
CAISO,2026-06-30 22:00:00,6266.388497960476,2026-06-30 06:00:00,16.0,5445.166666666667,0.0,6266.388497960476,821.2218312938094,821.2218312938094
CAISO,2026-06-30 23:00:00,6568.829731657416,2026-06-30 06:00:00,17.0,6121.833333333333,0.0,6568.829731657416,446.9963983240832,446.9963983240832
CAISO,2026-07-01 00:00:00,6152.641863235332,2026-06-30 12:00:00,12.0,6121.916666666667,0.0,6152.641863235332,30.725196568664614,30.725196568664614
CAISO,2026-07-01 01:00:00,5687.448629000573,2026-06-30 12:00:00,13.0,6286.333333333333,0.0,5687.448629000573,-598.8847043327596,-598.8847043327596
CAISO,2026-07-01 02:00:00,6520.770777668916,2026-06-30 12:00:00,14.0,6192.666666666667,0.0,6520.770777668916,328.1041110022488,328.1041110022488
CAISO,2026-07-01 03:00:00,6895.491780333247,2026-06-30 12:00:00,15.0,5673.833333333333,0.0,6895.491780333247,1221.6584469999143,1221.6584469999143
CAISO,2026-07-01 04:00:00,7096.500947364667,2026-06-30 12:00:00,16.0,5959.916666666667,0.0,7096.500947364667,1136.584280698,1136.584280698
CAISO,2026-07-01 05:00:00,7006.901757289352,2026-06-30 12:00:00,17.0,6291.0,0.0,7006.901757289352,715.9017572893517,715.9017572893517
CAISO,2026-07-01 06:00:00,6197.002849655127,2026-06-30 18:00:00,12.0,6357.0,0.0,6197.002849655127,-159.99715034487326,-159.99715034487326
CAISO,2026-07-01 07:00:00,6077.002911722774,2026-06-30 18:00:00,13.0,6413.583333333333,0.0,6077.002911722774,-336.5804216105589,-336.5804216105589
CAISO,2026-07-01 08:00:00,6842.122563158003,2026-06-30 18:00:00,14.0,6281.5,0.0,6842.122563158003,560.6225631580028,560.6225631580028
CAISO,2026-07-01 09:00:00,6953.527625485071,2026-06-30 18:00:00,15.0,6214.5,0.0,6953.527625485071,739.0276254850714,739.0276254850714
CAISO,2026-07-01 10:00:00,6678.352488723548,2026-06-30 18:00:00,16.0,6095.6,0.0,6678.352488723548,582.7524887235477,582.7524887235477
CAISO,2026-07-01 11:00:00,6518.266510861979,2026-06-30 18:00:00,17.0,5642.166666666667,0.0,6518.266510861979,876.0998441953125,876.0998441953125
CAISO,2026-07-01 12:00:00,5970.534291978457,2026-07-01 00:00:00,12.0,5305.166666666667,0.0,5970.534291978457,665.3676253117901,665.3676253117901
CAISO,2026-07-01 13:00:00,5110.285525083514,2026-07-01 00:00:00,13.0,4531.0,0.0,5110.285525083514,579.2855250835137,579.2855250835137
CAISO,2026-07-01 14:00:00,4160.306966629209,2026-07-01 00:00:00,14.0,3879.4166666666665,0.0,4160.306966629209,280.89029996254203,280.89029996254203
CAISO,2026-07-01 15:00:00,3492.76658716253,2026-07-01 00:00:00,15.0,3330.4166666666665,0.0,3492.76658716253,162.34992049586344,162.34992049586344
