utc,load,ens_p10,ens_p50,ens_p90,q10,q50,q90
2026-07-07 01:15:00+00:00,123564.87224152635,111582.88438503657,120120.27434772176,131532.73405727756,120020.44216881,122820.76900965108,126950.75375907795
2026-07-07 01:20:00+00:00,123332.5136581937,111247.11922452273,119841.73520563975,131159.07883321945,119780.17100543447,122581.0543905987,126714.38099904598
2026-07-07 01:25:00+00:00,123111.54426429796,110904.77401880485,119567.16189919834,130790.1506318774,119548.16844254747,122347.57795265892,126491.16844293321
2026-07-07 01:30:00+00:00,122895.44264691143,110554.51595133137,119291.5565043563,130421.49856920255,119317.90478469523,122114.54422818754,126272.95105925381
2026-07-07 01:35:00+00:00,122677.68739310626,110195.01220555077,119009.92109707234,130048.67176114598,119082.85033642402,121876.15774954038,126051.56381652212
2026-07-07 01:40:00+00:00,122451.75708995477,109824.92996491144,118717.25775330527,129667.21932365876,118836.47540228012,121626.6230490732,125818.84168325226
2026-07-07 01:45:00+00:00,122211.13032452915,109442.93641286189,118408.56854901381,129272.6903726921,118572.2502868098,121360.14465914179,125566.61962795856
2026-07-07 01:50:00+00:00,121949.28568390165,109047.69873285053,118078.85556015674,128860.63402419705,118283.6452945593,121070.927112102,125286.7326191552
2026-07-07 01:55:00+00:00,121659.70175514449,108637.88410832582,117723.12086269277,128426.59939412473,117964.1307300749,120753.17494030956,124971.01562535645
2026-07-07 02:00:00+00:00,121335.85712532993,108212.15972273624,117336.3665325807,127966.13559842625,117607.17689790287,120401.0926761203,124611.30361507654
2026-07-07 02:05:00+00:00,120966.02618867902,107759.32947311956,116898.59621103536,127475.25345051993,117188.90285365543,119994.63043620922,124173.17856266492
2026-07-07 02:10:00+00:00,120547.03612330163,107272.65947182674,116399.88930247606,126955.09757698188,116696.98684887018,119523.6198848221,123638.13041834466
2026-07-07 02:15:00+00:00,120085.19469210305,106757.51022527601,115850.36152766806,126408.91781350001,116142.23798198144,118997.08787567097,123021.8561144405
2026-07-07 02:20:00+00:00,119586.80965798866,106219.24223988554,115260.12860737674,125839.96399576221,115535.46535142348,118424.06126246777,122340.0525832771
2026-07-07 02:25:00+00:00,119058.18878386384,105663.21602207351,114639.3062623674,125251.48595945637,114887.47805563068,117813.56689892453,121608.41675717916
2026-07-07 02:30:00+00:00,118505.63983263388,105094.7920782581,113998.01021340536,124646.73354027036,114209.0851930373,117174.63163875326,120842.64556847137
2026-07-07 02:35:00+00:00,117935.47056720419,104519.33091485758,113346.35618125596,124028.95657389208,113511.09586207768,116516.28233566595,120058.43594947846
