case_id,ylat,xlong,iy,ix,grid_lat,grid_lon
400925,36.3059,-76.9951,516,1507,36.312798,283.00504
400472,35.3317,-77.6663,476,1495,35.330883,282.32675
401558,35.8277,-77.4577,495,1497,35.81929,282.52667
406584,43.341,-70.7292,813,1613,43.334335,289.25546
404493,40.0774,-109.2914,609,566,40.07958,250.72495
406443,36.7094,-86.5498,482,1224,36.707554,273.45157
406497,39.7896,-83.3424,608,1301,39.792828,276.66107
406412,35.2614,-119.1475,486,249,35.266376,240.85109
404558,39.654,-104.5312,580,699,39.667,255.47902
401799,35.0221,-80.0961,450,1425,35.023483,279.895
407051,42.8353,-73.9481,772,1534,42.84598,286.0469
406974,36.3165,-76.9942,516,1507,36.312798,283.00504
407030,43.0707,-75.5404,770,1490,43.08342,284.4609
400413,38.5015,-121.693,621,205,38.502003,238.29106
406495,37.8877,-78.3181,565,1456,37.897984,281.67465
407504,36.4311,-120.0125,534,234,36.426872,239.98746
407007,40.4698,-104.6533,610,698,40.471584,255.36264
407245,41.3435,-73.0606,724,1572,41.33361,286.93027
407244,41.3427,-73.0615,724,1572,41.33361,286.93027
407543,41.5206,-72.9046,732,1575,41.520267,287.10995
406963,42.434,-89.9033,684,1107,42.44451,270.08838
406964,42.4321,-89.904,684,1107,42.44451,270.08838
407514,38.637,-89.1114,545,1142,38.629833,270.89767
407538,38.5879,-89.8098,542,1122,38.596336,270.2007
407532,41.5638,-89.494,652,1121,41.554047,270.4958
407513,38.5081,-89.1471,540,1141,38.49795,270.84763
407517,38.5931,-89.2748,543,1137,38.588257,270.7195
407515,39.5748,-87.695,584,1179,39.57824,272.31158
407502,40.6222,-89.6793,617,1119,40.61888,270.31717
407501,39.6077,-87.7295,585,1178,39.607925,272.2805
407498,41.4689,-87.7391,654,1170,41.480556,272.2576
407490,42.4412,-88.3027,688,1151,42.443867,271.69974
407361,40.6808,-89.585,619,1122,40.66569,270.42944
407360,41.9278,-87.7893,670,1167,41.917652,272.2109
407355,41.6726,-88.0616,660,1160,41.66933,271.9219
407351,42.4821,-89.9938,685,1105,42.475746,270.01865
407314,39.2504,-87.4341,573,1188,39.257057,272.58258
407179,41.2051,-86.9594,646,1193,41.198082,273.04642
407332,38.3066,-87.5193,538,1189,38.315495,272.48517
406998,38.8946,-98.7824,544,862,38.894905,261.21143
407342,37.2615,-98.4908,483,870,37.252098,261.5114
407549,39.0864,-96.8002,551,919,39.088764,263.18912
406970,37.6718,-87.5595,514,1190,37.66891,272.4305
407284,37.9148,-86.2479,528,1227,37.929554,273.7402
406941,30.8052,-90.5498,251,1122,30.793058,269.4436
406991,41.9645,-70.7852,764,1627,41.963295,289.2326
407285,38.6177,-75.8892,607,1519,38.630005,284.1036
407531,39.1853,-76.9237,620,1485,39.17982,283.058
407537,38.3871,-75.4153,601,1535,38.371166,284.59106
407539,39.3822,-79.3657,613,1415,39.389027,280.62103
407540,39.3874,-79.3858,613,1415,39.389027,280.62103
407552,39.6675,-75.861,645,1511,39.67719,284.14066
406976,43.8566,-84.7517,752,1240,43.868187,275.23752
407130,43.1929,-84.5198,728,1250,43.19212,275.48068
407208,42.0702,-85.0954,685,1240,42.0831,274.90222
407262,41.8724,-85.07,677,1242,41.86239,274.93503
407270,43.9928,-96.337,733,930,43.987125,263.65048
407290,44.3389,-91.999,750,1046,44.330593,268.01147
407333,44.3494,-92.0051,751,1046,44.35738,268.0137
407291,45.4203,-94.0303,788,990,45.421257,265.96564
407309,44.364,-92.0267,751,1045,44.35898,267.97626
407343,44.786,-95.4816,763,953,44.781303,264.5334
407354,44.4742,-93.2186,754,1013,44.48485,266.78177
407480,44.5384,-94.8972,754,968,44.52991,265.0902
407488,43.9779,-95.9117,733,942,43.98231,264.09827
407231,40.1234,-92.5457,593,1040,40.121082,267.46887
406961,43.3289,-78.0701,764,1421,43.339813,281.93024
406930,42.1542,-79.6055,712,1389,42.142876,280.3984
406987,42.1528,-77.8055,722,1437,42.14454,282.17877
406994,41.5618,-74.1416,725,1541,41.574074,285.86246
407020,42.9917,-74.3143,775,1523,42.99839,285.68347
407021,42.9926,-74.3106,775,1523,42.99839,285.68347
407023,43.357,-73.5664,793,1539,43.357704,286.42218
407058,42.6812,-78.9525,735,1403,42.675663,281.06375
407099,42.9637,-74.3798,773,1522,42.952988,285.62958
407107,43.8047,-76.0335,793,1471,43.803814,283.97614
407221,42.9645,-77.1127,756,1449,42.968185,282.87494
407359,41.7388,-74.7369,727,1523,41.746464,285.25162
407364,40.6782,-83.8235,638,1283,40.665733,276.1923
406971,39.3837,-83.401,593,1302,39.38886,276.61533
407263,41.3385,-82.8273,667,1306,41.343,277.16293
407546,39.586,-83.1642,601,1307,39.581326,276.83102
407547,39.551,-83.1861,600,1307,39.55468,276.82562
407218,45.2965,-122.5115,870,250,45.285465,237.48064
407272,30.9038,-97.0566,247,913,30.910124,262.9311
406937,32.8314,-97.3494,319,904,32.840668,262.65424
407261,31.15,-97.2227,256,908,31.151451,262.77603
407271,30.5995,-97.1563,235,910,30.589577,262.83618
407119,42.7626,-88.0608,700,1156,42.751526,271.9259
407347,37.7698,-121.9664,597,191,37.778336,238.04265
407487,33.8378,-118.2266,428,264,33.838634,241.76097
406931,35.1312,-119.2634,482,244,35.130146,240.72166
407132,34.8399,-118.3643,465,269,34.83909,241.64966
406995,37.0026,-120.6379,559,221,36.994328,239.35712
407171,36.6039,-120.4014,543,224,36.596325,239.5884
407363,35.932,-119.8597,515,234,35.929836,240.1406
407465,38.2922,-120.9191,608,225,38.30104,239.07118
406996,33.3829,-112.7927,379,426,33.39356,247.19916
406999,32.6283,-114.4287,360,371,32.633713,245.57045
407005,40.3179,-104.889,605,690,40.32016,255.09425
407006,40.3142,-104.7707,604,694,40.301865,255.23807
406986,43.2914,-116.0039,757,402,43.29116,244.01422
407113,35.261,-106.8613,423,616,35.25059,253.14369
407059,36.7896,-114.1375,510,408,36.784607,245.87149
407180,36.8906,-114.0807,514,410,36.900406,245.91359
407495,42.1537,-123.6247,766,189,42.149597,236.36082
407248,31.5181,-100.5773,271,801,31.509365,259.41516
407207,43.4494,-84.6985,737,1244,43.454197,275.3076
407491,36.2506,-107.3249,461,606,36.24103,252.68228
401800,34.9689,-80.0517,448,1427,34.960453,279.9472
402915,39.8044,-104.6171,585,697,39.79733,255.39563
407358,36.0505,-119.3059,515,251,36.038727,240.69063
406591,41.7702,-70.5743,759,1634,41.780144,289.42313
407357,36.0461,-119.3194,515,251,36.038727,240.69063
407250,38.2105,-89.8449,528,1122,38.219948,270.16055
407124,41.0204,-73.7581,708,1556,41.02862,286.2287
407249,39.0638,-89.3874,560,1132,39.05703,270.59918
407451,36.1599,-94.0511,444,1002,36.152958,265.93362
407370,31.4996,-83.513,303,1343,31.504908,276.49652
407382,34.4379,-84.7045,406,1290,34.44807,275.296
407383,34.4997,-85.4509,405,1267,34.504692,274.54752
407562,38.8819,-76.706,611,1494,38.88904,283.2931
407204,44.4014,-68.9959,865,1646,44.40641,291.00278
407305,43.3775,-70.9414,813,1607,43.380383,289.0429
407065,42.6593,-76.9345,746,1457,42.65832,283.08017
407481,42.5022,-79.2779,727,1395,42.50741,280.71912
407303,42.8301,-75.8245,759,1485,42.827435,284.18735
407507,42.485,-78.4987,731,1416,42.49937,281.4994
400010,39.601,-84.2057,597,1278,39.591652,275.8065
407286,42.422,-123.0091,771,208,42.420597,236.97472
407112,40.1908,-79.3238,642,1411,40.177185,280.6828
407568,40.5673,-75.6004,679,1510,40.574886,284.3873
407060,43.9487,-89.6819,740,1109,43.94031,270.3347
406630,38.5536,-121.4226,621,214,38.564754,238.59093
406435,40.5662,-74.2176,688,1548,40.561436,285.7732
406507,40.0206,-74.2499,668,1552,40.012287,285.73337
406492,37.5537,-79.0172,548,1439,37.54213,280.9892
406561,43.4351,-88.1751,725,1151,43.433968,271.8364
406565,43.4329,-88.1633,725,1151,43.433968,271.8364
407160,33.4176,-112.177,377,445,33.42334,247.81319
407328,45.1263,-122.5581,864,247,45.10905,237.43208
406479,36.9871,-121.9238,568,184,36.973976,238.07173
401287,42.313,-72.9513,760,1566,42.311535,287.06326
